energy_keV,count_rate_density,count_rate_error,energy_low_keV,energy_high_keV,source_counts,background_counts,label,source
2.25,0.33678681937571214,0.021411988138200996,2.0,2.5,268,21,"MAXI/GSC MAXI J1820+070, MJD 58301.5-58302.5",https://maxi.riken.jp/mxondem/api/results/20260828013000_evoxrbv020real01/index.html
2.75,0.44948415676116804,0.02465508341208534,2.5,3.0,356,24,"MAXI/GSC MAXI J1820+070, MJD 58301.5-58302.5",https://maxi.riken.jp/mxondem/api/results/20260828013000_evoxrbv020real01/index.html
3.25,0.4144078560637343,0.023712965555607948,3.0,3.5,329,24,"MAXI/GSC MAXI J1820+070, MJD 58301.5-58302.5",https://maxi.riken.jp/mxondem/api/results/20260828013000_evoxrbv020real01/index.html
3.75,0.4194996260126272,0.023705222455988054,3.5,4.0,330,17,"MAXI/GSC MAXI J1820+070, MJD 58301.5-58302.5",https://maxi.riken.jp/mxondem/api/results/20260828013000_evoxrbv020real01/index.html
4.25,0.35313360178599673,0.021925034382062475,4.0,4.5,281,22,"MAXI/GSC MAXI J1820+070, MJD 58301.5-58302.5",https://maxi.riken.jp/mxondem/api/results/20260828013000_evoxrbv020real01/index.html
4.75,0.31470174115880933,0.02073118471214052,4.5,5.0,251,21,"MAXI/GSC MAXI J1820+070, MJD 58301.5-58302.5",https://maxi.riken.jp/mxondem/api/results/20260828013000_evoxrbv020real01/index.html
5.25,0.24866201512734282,0.018600623592982958,5.0,5.5,201,23,"MAXI/GSC MAXI J1820+070, MJD 58301.5-58302.5",https://maxi.riken.jp/mxondem/api/results/20260828013000_evoxrbv020real01/index.html
5.75,0.2155374330682901,0.017232694190758225,5.5,6.0,173,17,"MAXI/GSC MAXI J1820+070, MJD 58301.5-58302.5",https://maxi.riken.jp/mxondem/api/results/20260828013000_evoxrbv020real01/index.html
6.25,0.15382609101946632,0.014925807821508902,6.0,6.5,128,23,"MAXI/GSC MAXI J1820+070, MJD 58301.5-58302.5",https://maxi.riken.jp/mxondem/api/results/20260828013000_evoxrbv020real01/index.html
6.75,0.17580645019304958,0.015631791879726166,6.5,7.0,142,16,"MAXI/GSC MAXI J1820+070, MJD 58301.5-58302.5",https://maxi.riken.jp/mxondem/api/results/20260828013000_evoxrbv020real01/index.html
7.25,0.16746990989032529,0.015314051074189679,7.0,7.5,136,17,"MAXI/GSC MAXI J1820+070, MJD 58301.5-58302.5",https://maxi.riken.jp/mxondem/api/results/20260828013000_evoxrbv020real01/index.html
7.75,0.12838545287280992,0.013737969726009332,7.5,8.0,108,22,"MAXI/GSC MAXI J1820+070, MJD 58301.5-58302.5",https://maxi.riken.jp/mxondem/api/results/20260828013000_evoxrbv020real01/index.html
8.25,0.10846760191352996,0.012604220611947086,8.0,8.5,91,18,"MAXI/GSC MAXI J1820+070, MJD 58301.5-58302.5",https://maxi.riken.jp/mxondem/api/results/20260828013000_evoxrbv020real01/index.html
8.75,0.0788032988275503,0.011060003478498578,8.5,9.0,69,20,"MAXI/GSC MAXI J1820+070, MJD 58301.5-58302.5",https://maxi.riken.jp/mxondem/api/results/20260828013000_evoxrbv020real01/index.html
9.25,0.08302696376687357,0.011172217788011673,9.0,9.5,71,17,"MAXI/GSC MAXI J1820+070, MJD 58301.5-58302.5",https://maxi.riken.jp/mxondem/api/results/20260828013000_evoxrbv020real01/index.html
9.75,0.07576796656035789,0.01124098894905954,9.5,10.0,70,28,"MAXI/GSC MAXI J1820+070, MJD 58301.5-58302.5",https://maxi.riken.jp/mxondem/api/results/20260828013000_evoxrbv020real01/index.html
